Moments of Inertia Data

Mass  Length  Radius  Moment
4.50    2.17    1.04    2.97
4.50    2.17    1.16    3.28
5.00    1.95    0.87    2.53
5.82    1.92    1.32    4.34
5.09    1.64    0.91    2.20
5.16    2.00    0.97    2.94
5.10    1.74    1.05    2.69
5.52    2.11    0.86    3.07
4.55    2.06    1.20    3.25
5.08    1.87    1.39    3.93
5.58    1.71    0.98    2.70
5.14    2.01    1.06    3.17
5.49    2.21    1.02    3.67
5.71    2.28    0.99    3.87
4.13    1.85    0.94    2.10
4.75    1.96    1.15    3.10
4.78    1.87    0.95    2.46
4.71    1.86    1.00    2.55
4.53    2.01    1.04    2.75
5.59    1.84    1.01    3.00
5.32    1.88    1.05    3.03
5.25    2.10    0.98    3.19
5.05    2.30    0.87    3.20
4.70    1.78    0.89    2.16
4.32    2.18    1.15    3.14
5.37    2.16    1.01    3.46
4.93    2.06    0.83    2.59
4.66    2.14    1.17    3.38
5.29    2.05    0.81    2.72
4.52    2.39    0.85    2.96
4.14    1.74    0.98    2.04
4.77    2.17    0.93    2.91
5.95    1.84    0.93    2.96
4.84    2.19    0.95    3.01
4.56    1.86    1.21    2.98
5.23    2.14    0.93    3.13
4.79    1.96    0.90    2.50
5.01    2.29    1.20    4.01
4.97    2.02    1.03    3.01
4.26    2.08    1.04    2.69
5.07    2.10    0.95    3.02
5.04    2.34    0.93    3.40
5.09    2.15    1.04    3.36
5.46    2.03    0.96    3.13
5.20    1.85    0.93    2.61
4.65    1.94    1.23    3.20
4.87    2.19    1.01    3.19
4.96    2.13    0.93    2.93
5.00    1.65    1.01    2.40
4.45    1.97    0.83    2.21
4.01    2.22    0.97    2.58
5.40    2.25    0.92    3.42
4.85    2.21    0.90    2.97
4.80    2.28    1.01    3.32
5.63    2.15    0.79    3.04
5.29    2.07    1.26    4.00
5.23    2.16    0.98    3.29
5.54    1.97    1.11    3.51
4.88    2.02    0.93    2.72
5.01    2.29    1.06    3.59
5.27    1.93    0.97    2.89
5.28    2.07    1.04    3.33
5.04    2.21    0.87    3.01
5.24    2.18    1.01    3.41
5.07    2.00    1.10    3.22
4.58    1.72    0.91    2.07
5.73    1.74    0.84    2.46
4.92    1.70    0.88    2.15
5.14    2.51    0.98    3.93
5.58    2.17    1.16    4.07
4.70    1.99    1.10    2.97
5.79    1.81    0.92    2.79
4.45    2.00    1.04    2.68
5.67    1.85    0.77    2.48
5.65    1.90    1.05    3.25
5.36    1.90    0.88    2.65
5.53    2.14    0.97    3.41
5.00    2.01    1.07    3.12
5.05    2.01    0.97    2.89
5.67    2.02    0.99    3.31
4.67    1.95    1.08    2.85
4.64    1.85    1.02    2.52
4.22    1.95    1.11    2.64
5.33    1.64    0.98    2.47
4.62    2.20    0.92    2.84
4.44    2.22    0.94    2.80
5.58    1.62    0.96    2.51
5.40    2.11    0.95    3.20
4.48    1.55    1.05    2.14
4.50    1.86    0.98    2.38
5.15    2.33    1.01    3.63
5.57    1.78    0.91    2.62
4.30    2.16    1.15    3.10
4.42    2.29    0.86    2.76
5.79    2.06    1.04    3.61
4.34    2.21    1.05    2.98
4.23    2.00    0.94    2.34
4.49    2.24    1.17    3.42
4.57    1.64    0.82    1.79
5.50    1.80    1.09    3.12
4.60    2.42    1.02    3.45
5.28    2.10    1.02    3.32
5.35    2.14    0.92    3.16
5.71    2.05    1.00    3.43
4.93    1.89    0.84    2.32
5.67    2.10    1.04    3.62
4.80    2.24    1.21    3.75
5.11    1.90    0.82    2.38
5.02    2.02    0.94    2.81
4.32    2.13    0.90    2.51
4.54    1.96    1.08    2.78
5.93    1.85    0.98    3.11
4.46    2.09    1.10    2.97
4.61    1.92    0.94    2.44
4.81    2.27    0.83    2.90
4.38    2.10    1.07    2.86
4.46    1.90    1.12    2.74
5.28    2.13    0.84    2.93
4.31    2.18    1.18    3.20
5.03    2.35    0.98    3.52
4.60    1.95    1.14    2.95
4.92    2.30    1.25    4.09
5.60    1.97    1.05    3.35
5.12    1.95    1.03    2.98
5.01    1.81    1.05    2.75
5.62    1.96    0.94    3.03
4.36    2.09    0.96    2.59
4.71    1.70    1.01    2.34
5.24    2.09    1.06    3.37
5.71    2.07    1.06    3.64
4.67    1.88    0.95    2.43
4.08    1.99    0.87    2.11
4.77    2.18    1.19    3.55
5.30    1.61    0.99    2.45
4.82    1.91    0.95    2.57
4.99    1.69    1.03    2.51
4.24    2.27    1.05    2.99
5.10    2.25    1.05    3.56
4.34    2.24    1.08    3.08
5.41    1.87    0.91    2.69
4.49    2.28    1.11    3.31
5.02    2.13    0.90    2.93
4.45    1.79    0.94    2.17
5.02    2.01    1.04    3.03
4.75    1.95    0.95    2.58
3.56    2.21    0.97    2.29
3.72    1.90    1.01    2.07
5.63    1.89    0.96    2.98
5.39    1.89    1.05    3.09
5.44    1.98    1.02    3.21
5.35    2.16    0.92    3.21
5.39    2.16    1.20    4.04
4.93    2.09    0.78    2.55
5.15    2.38    1.18    4.22
5.07    1.87    1.01    2.76
5.20    1.42    1.20    2.74
5.21    1.69    1.03    2.62
5.68    2.22    1.14    4.17
5.42    1.80    0.90    2.56
5.75    1.91    0.97    3.10
5.43    1.91    1.02    3.06
5.21    1.88    1.01    2.85
3.67    2.04    0.96    2.11
5.02    1.74    0.94    2.36
5.26    1.66    0.96    2.41
5.01    1.60    1.04    2.43
5.61    2.09    0.98    3.40
5.23    2.05    1.10    3.42
4.09    2.03    1.06    2.54
4.71    1.90    1.07    2.75
4.69    1.97    1.01    2.72
5.07    1.48    0.93    2.02
3.61    1.86    1.01    1.96
5.19    2.23    1.00    3.43
5.82    2.18    0.92    3.54
4.82    2.22    1.02    3.23
5.96    2.02    1.12    3.89
4.77    2.12    0.99    2.95
4.36    1.67    0.96    2.01
5.21    2.09    0.85    2.84
4.67    2.13    1.03    3.01
4.31    2.26    1.07    3.07
5.60    2.06    1.16    3.85
5.38    1.75    0.93    2.54
4.27    2.15    0.81    2.35
5.29    1.98    0.87    2.72
4.06    2.18    0.82    2.28
5.38    1.74    0.97    2.62
5.51    2.00    1.06    3.36
5.42    2.12    0.81    2.92
5.44    2.28    0.92    3.50
3.73    1.93    1.11    2.31
4.65    2.04    1.01    2.82
5.06    2.33    0.93    3.37
4.94    1.71    1.00    2.43
3.90    2.31    1.00    2.70
5.49    1.64    0.89    2.32
5.02    2.06    1.11    3.34
4.67    2.30    1.16    3.63
4.59    2.09    0.87    2.53
4.78    1.96    1.12    3.02
5.97    2.23    1.06    4.16
5.03    1.91    1.02    2.84
5.25    1.56    1.02    2.44
4.89    1.99    0.92    2.65
4.38    1.72    0.98    2.12
5.54    1.82    1.12    3.27
4.74    2.00    1.10    3.03
4.77    2.24    1.10    3.44
5.07    2.06    0.96    2.96
5.49    2.29    0.91    3.53
4.30    2.20    1.00    2.80
4.72    2.34    1.05    3.45
5.15    1.70    0.92    2.34
4.96    1.87    1.09    2.91
5.06    1.78    0.96    2.49
5.15    1.76    1.15    3.04
5.16    2.03    0.89    2.79
4.58    1.77    0.93    2.18
4.60    1.86    1.13    2.80
6.08    2.14    1.05    3.99
4.59    2.00    1.05    2.80
4.89    1.96    0.98    2.74
4.26    2.14    0.79    2.30
5.39    2.01    0.90    2.90
4.99    1.94    1.01    2.85
5.64    1.82    1.06    3.15
4.41    2.05    0.98    2.61
5.42    2.21    0.94    3.40
5.34    1.94    1.03    3.09
4.38    1.87    1.06    2.49
4.62    1.97    0.88    2.39
4.60    2.15    1.01    2.94
5.34    1.80    1.27    3.58
5.33    2.28    0.94    3.49
3.90    1.83    0.77    1.67
5.34    1.98    0.87    2.77
4.99    2.27    0.94    3.23
4.99    2.16    1.08    3.41
5.13    1.92    0.87    2.54
5.51    1.69    1.07    2.90
5.22    2.35    0.90    3.47
5.07    2.25    0.92    3.22
5.49    2.18    0.94    3.38
4.74    1.75    1.19    2.88
6.05    2.00    1.08    3.78
5.58    2.32    1.14    4.32
4.67    2.06    0.99    2.80
5.11    2.15    1.24    3.91
4.90    2.28    1.10    3.62
5.08    1.93    1.09    3.09
4.86    2.29    0.99    3.32
4.38    2.06    1.02    2.70
5.15    1.96    0.98    2.90
5.07    2.26    1.05    3.56
5.67    1.49    0.90    2.21
5.17    2.25    1.05    3.59
4.71    2.08    0.84    2.53
5.36    2.39    0.97    3.82
4.97    1.96    1.01    2.86
4.32    2.10    0.96    2.59
5.93    2.05    1.00    3.55
6.10    2.13    0.84    3.39
5.14    2.09    1.08    3.37
4.95    1.71    0.91    2.23
5.03    2.16    1.07    3.41
5.25    2.01    1.04    3.18
4.65    2.09    1.17    3.29
6.35    1.94    0.97    3.47
4.61    1.94    1.06    2.74
4.49    1.70    1.21    2.73
5.65    1.95    0.96    3.09
4.63    2.12    0.91    2.70
4.91    2.20    1.06    3.35
5.64    1.74    1.01    2.87
4.83    2.16    0.82    2.70
5.69    1.97    0.87    2.93
5.26    1.87    1.00    2.84
5.45    2.18    0.91    3.27
4.54    2.16    0.87    2.62
5.28    1.98    1.06    3.21
5.67    1.75    1.23    3.58
5.32    2.07    1.09    3.48
4.80    2.21    1.06    3.28
4.55    2.18    0.99    2.92
4.50    1.89    0.98    2.43
5.32    1.85    0.96    2.75
5.40    2.01    0.94    3.01
4.70    1.81    0.92    2.28
5.31    2.21    0.86    3.15
4.90    2.29    1.02    3.41
4.45    1.79    1.13    2.62
4.77    1.95    0.95    2.58
4.83    2.15    1.20    3.60
5.65    2.08    0.99    3.43
5.25    2.19    1.11    3.70
4.56    1.81    0.91    2.20
5.07    1.86    1.10    3.00
4.90    2.08    0.89    2.73
4.75    2.13    1.06    3.12
6.10    2.00    0.89    3.24
4.18    2.04    1.02    2.54
4.66    1.71    1.03    2.37
4.73    2.03    1.08    3.00
3.98    2.09    1.03    2.50
4.84    1.98    1.13    3.12
4.29    1.87    0.97    2.27
5.92    1.87    0.87    2.85
5.72    1.85    0.76    2.46
5.25    2.04    0.94    2.97
5.03    2.04    1.18    3.49
5.47    2.17    1.06    3.68
5.33    2.22    1.05    3.65
4.97    2.09    0.88    2.78
5.28    1.68    0.89    2.27
4.91    2.08    1.08    3.19
5.26    2.24    1.04    3.62
5.44    2.18    1.02    3.55
4.37    1.93    1.00    2.45
4.87    2.08    1.01    2.99
5.24    2.07    0.99    3.14
5.06    2.05    0.79    2.56
5.88    2.13    0.89    3.38
4.46    2.04    0.93    2.53
5.07    2.06    1.05    3.19
5.67    2.44    0.91    3.99
4.43    1.95    0.98    2.47
4.79    1.74    1.11    2.69
5.57    2.11    1.00    3.46
5.15    1.86    1.02    2.81
5.63    1.96    1.10    3.52
5.45    1.94    1.11    3.39
4.81    2.22    1.08    3.39
4.81    1.56    1.20    2.70
5.12    2.10    1.00    3.17
5.15    2.00    0.98    2.95
4.43    2.22    0.99    2.91
4.62    2.05    1.01    2.79
5.55    1.94    1.12    3.49
4.86    1.92    1.04    2.80
4.53    2.38    1.02    3.30
5.36    2.06    1.11    3.54
5.52    1.68    1.02    2.75
4.13    1.91    0.90    2.10
5.45    1.87    1.02    3.02
4.66    2.00    1.07    2.88
4.59    1.79    0.91    2.18
5.44    2.26    0.96    3.57
4.65    1.69    1.08    2.48
5.48    2.16    1.00    3.50
4.48    2.04    1.18    3.12
5.47    1.87    0.85    2.57
4.85    2.03    0.89    2.63
5.05    2.41    1.08    3.93
4.97    2.27    0.76    2.85
5.56    1.98    0.88    2.88
5.81    1.93    0.95    3.13
4.99    2.07    0.94    2.88
4.54    1.93    0.68    1.93
4.60    1.87    0.97    2.42
4.78    2.05    0.97    2.80
5.65    2.03    0.89    3.06
4.82    1.65    1.08    2.51
5.29    2.01    1.09    3.36
4.89    2.09    0.94    2.88
5.05    1.88    1.07    2.93
4.18    2.21    1.15    3.09
4.72    2.08    0.73    2.33
4.92    2.36    0.99    3.49
5.52    1.97    1.01    3.19
4.84    1.98    1.00    2.78
5.82    2.28    1.08    4.22
4.92    2.38    1.13    3.91
4.39    1.88    0.94    2.27
5.01    1.57    1.01    2.30
4.55    1.97    0.94    2.49
5.38    2.12    1.20    3.94
4.64    1.73    1.08    2.51
5.80    2.04    1.10    3.77
4.60    1.90    1.01    2.56
4.68    1.99    0.99    2.69
4.74    1.99    0.89    2.50
5.35    2.03    1.02    3.25
4.99    1.88    1.18    3.20
5.67    2.06    1.06    3.59
4.59    2.04    1.09    2.96
5.26    1.91    0.96    2.81
5.56    2.07    1.03    3.46
4.93    1.88    1.15    3.09
4.64    2.15    1.06    3.10
3.97    1.90    0.86    1.93
5.16    1.83    1.31    3.66
4.54    2.04    0.91    2.52
5.49    1.81    0.98    2.83
5.59    2.28    1.08    4.06
5.24    2.41    0.99    3.81
4.31    2.19    1.00    2.81
5.32    2.25    0.91    3.35
4.80    1.83    0.99    2.53
4.50    2.17    0.98    2.85
5.27    2.00    0.92    2.88
4.87    1.83    0.98    2.54
5.51    1.87    1.16    3.46
4.74    1.91    0.92    2.45
4.10    1.86    0.91    2.04
5.38    2.07    1.08    3.50
4.17    1.54    0.85    1.59
4.89    1.92    1.12    3.05
5.04    1.60    1.17    2.78
4.38    2.15    1.07    2.94
4.96    1.95    0.95    2.69
4.58    2.13    0.97    2.82
5.76    1.81    1.07    3.22
4.43    2.22    1.20    3.42
3.96    2.23    0.85    2.37
5.14    2.13    1.09    3.45
5.06    2.04    1.01    3.05
4.91    1.98    1.18    3.30
4.39    2.00    1.04    2.64
5.77    1.96    1.08    3.52
5.11    1.67    0.89    2.21
4.71    2.12    0.98    2.90
5.07    2.02    1.08    3.21
5.53    2.15    0.92    3.30
5.33    1.78    1.05    2.87
5.68    2.03    1.11    3.70
5.09    2.28    0.99    3.45
4.83    1.76    1.00    2.46
4.56    2.49    0.92    3.32
4.31    2.14    0.77    2.28
4.74    2.25    1.23    3.80
4.09    2.05    0.96    2.38
4.55    1.82    1.21    2.92
5.73    1.83    0.95    2.87
5.37    2.08    1.01    3.30
5.82    1.84    1.17    3.64
4.43    1.90    1.11    2.70
5.04    2.17    1.10    3.49
4.46    1.77    1.08    2.47
4.88    2.02    0.90    2.64
5.24    2.02    0.93    2.91
4.68    1.75    1.07    2.55
4.83    2.19    1.01    3.17
5.64    1.94    0.87    2.82
5.37    2.16    1.26    4.21
4.70    2.13    1.03    3.03
5.69    2.12    0.89    3.25
5.19    1.96    0.91    2.74
4.93    2.12    1.00    3.08
4.37    2.33    0.70    2.50
4.67    2.16    0.92    2.79
5.52    2.16    0.93    3.34
4.97    2.16    0.84    2.81
4.38    1.99    0.94    2.42
5.28    2.14    1.02    3.37
6.02    1.86    0.93    3.02
5.57    2.22    1.08    3.93
4.42    1.96    0.84    2.20
4.63    2.03    0.95    2.62
4.06    2.10    0.95    2.42
5.03    1.97    0.94    2.75
5.03    1.63    0.96    2.28
4.43    1.85    1.09    2.59
3.84    1.92    1.07    2.28
5.41    1.65    1.06    2.75
4.39    2.11    1.20    3.22
5.33    2.19    0.91    3.23
4.44    1.59    1.02    2.08
4.54    1.68    0.96    2.11
5.28    2.11    0.99    3.24
5.37    1.85    0.85    2.49
5.05    2.34    0.94    3.43
4.42    2.04    0.94    2.52
5.21    1.99    1.02    3.06
4.03    2.16    0.99    2.56
5.33    2.03    1.01    3.19
4.63    1.92    1.14    2.93
4.93    2.31    1.03    3.50
5.10    2.18    1.14    3.67
5.35    1.95    1.04    3.15
5.96    2.17    1.08    4.08
6.26    1.76    1.14    3.66
4.69    1.61    0.93    2.02
4.78    2.09    1.16    3.37
4.76    1.80    1.12    2.77
5.22    1.97    1.00    2.98
5.20    2.06    0.91    2.90
5.01    1.73    1.01    2.53
4.97    1.97    0.88    2.56
4.97    1.91    0.99    2.73
5.64    2.10    1.02    3.53
4.72    2.16    1.01    3.05
4.41    2.13    1.20    3.27
5.02    2.24    1.22    3.97
5.99    1.98    0.90    3.17
4.84    1.90    1.13    3.01
4.56    1.80    1.00    2.39
5.81    2.21    0.91    3.58
4.65    2.17    1.02    3.04
5.71    2.07    0.90    3.20
4.64    2.19    1.04    3.12
5.68    1.86    0.90    2.78
5.63    1.65    1.16    3.18
4.85    2.00    0.98    2.77
4.99    2.19    1.09    3.48
5.13    1.74    0.85    2.22
5.37    1.76    1.04    2.85
4.73    1.74    0.94    2.23
4.91    1.68    0.95    2.25
4.92    1.97    0.96    2.72
5.80    1.97    0.93    3.14
4.71    1.95    0.94    2.52
4.73    2.19    1.12    3.37
4.81    2.65    0.87    3.73
5.11    2.22    0.90    3.13
6.00    2.01    0.85    3.11
5.03    1.81    0.93    2.46
4.63    1.97    0.99    2.62
4.65    1.79    0.90    2.18
5.08    2.04    1.00    3.04
5.05    2.33    0.83    3.15
4.67    2.07    1.16    3.25
5.31    2.10    0.99    3.25
6.00    2.10    1.05    3.86
3.59    2.27    0.95    2.35
5.19    2.59    1.04    4.29
5.93    1.57    0.95    2.58
5.46    2.21    0.98    3.55
4.11    1.97    1.07    2.51
4.44    2.32    1.07    3.25
5.00    1.85    1.00    2.67
5.38    1.83    0.90    2.59
5.22    1.68    1.05    2.67
4.58    1.91    0.84    2.20
5.17    2.11    1.09    3.46
5.94    1.90    1.02    3.34
5.22    1.88    1.16    3.29
4.19    1.82    1.04    2.29
4.94    2.18    1.17    3.65
4.64    2.30    0.98    3.15
5.23    1.95    1.04    3.07
4.92    2.03    1.00    2.92
4.62    1.66    1.00    2.22
5.14    1.87    1.22    3.41
5.37    1.98    0.99    3.07
5.28    2.21    0.80    3.01
4.50    2.05    1.07    2.86
4.27    2.51    0.98    3.26
4.37    2.42    1.02    3.27
5.07    1.75    0.98    2.52
5.52    1.91    0.89    2.79
3.95    2.06    1.11    2.62
5.33    1.90    1.08    3.18
4.55    2.45    0.90    3.19
5.10    1.96    1.07    3.07
4.84    2.04    0.96    2.79
5.49    1.99    0.86    2.83
4.03    2.09    0.97    2.42
5.31    2.03    1.06    3.30
5.07    1.59    1.04    2.42
5.47    2.11    1.05    3.53
4.92    1.97    1.03    2.89
4.60    2.43    0.90    3.19
6.12    2.10    0.95    3.61
4.75    1.79    0.94    2.31
4.96    1.95    1.10    3.07
4.69    1.85    1.07    2.68
4.51    2.38    1.06    3.40
4.77    2.15    0.99    3.00
6.12    1.89    0.94    3.17
4.90    1.88    1.09    2.89
5.65    1.82    1.07    3.17
4.77    2.20    0.98    3.06
4.28    1.98    0.88    2.23
4.81    2.14    0.88    2.76
4.74    1.56    1.08    2.35
5.09    1.82    1.06    2.83
5.30    2.28    0.99    3.59
4.84    1.91    1.01    2.71
4.91    2.02    0.92    2.71
3.87    1.69    1.08    2.05
4.27    2.00    0.91    2.31
4.25    2.12    1.02    2.70
4.25    1.83    0.92    2.07
4.60    2.07    1.14    3.13
4.02    1.82    0.96    2.03
4.49    2.38    0.98    3.20
5.94    2.14    0.91    3.51
4.98    1.88    1.17    3.17
5.23    2.11    1.10    3.54
5.42    2.26    1.04    3.78
5.68    1.89    1.14    3.55
4.77    2.06    1.03    2.93
4.06    1.69    0.99    1.95
4.97    1.58    1.02    2.32
5.80    1.77    0.83    2.52
5.13    2.13    1.01    3.26
5.42    1.99    0.93    2.94
4.87    1.90    0.95    2.57
5.95    2.02    1.01    3.53
5.13    1.69    1.01    2.53
5.74    1.97    1.06    3.46
4.36    1.92    1.00    2.43
5.58    2.03    1.10    3.60
5.05    2.41    0.88    3.44
5.90    2.26    0.99    3.96
5.10    1.71    1.04    2.64
5.04    2.18    1.06    3.40
4.67    2.41    0.85    3.12
5.01    2.12    0.96    3.03
4.93    1.92    1.05    2.87
5.11    1.98    1.19    3.48
4.71    1.71    0.88    2.05
5.11    2.07    0.78    2.59
3.95    2.07    1.04    2.47
5.08    2.27    0.76    2.92
4.89    1.87    1.00    2.64
4.77    1.94    0.97    2.62
5.10    1.75    0.93    2.41
5.55    1.88    1.11    3.34
4.41    2.15    1.11    3.06
4.47    1.96    1.28    3.26
5.11    2.15    1.06    3.40
5.13    1.81    0.90    2.43
5.18    2.01    1.17    3.53
5.17    1.94    0.97    2.85
5.59    1.81    1.16    3.41
4.30    1.77    0.84    1.89
5.02    1.91    1.01    2.81
4.82    1.66    1.00    2.32
5.21    2.03    1.09    3.34
4.40    2.03    1.11    2.86
5.24    2.15    1.03    3.39
5.23    1.76    1.04    2.76
4.91    2.14    0.98    3.05
5.89    2.27    1.16    4.50
4.71    1.94    0.77    2.16
4.79    2.30    0.91    3.09
4.50    2.37    0.94    3.11
4.76    2.28    0.95    3.12
4.65    2.09    1.01    2.86
4.66    2.07    0.97    2.76
4.00    1.75    1.11    2.25
5.07    2.10    1.01    3.15
5.15    2.11    0.87    2.89
5.24    1.90    0.89    2.63
4.79    1.89    0.89    2.39
5.23    2.08    1.00    3.17
4.57    2.05    1.06    2.88
5.08    2.43    1.16    4.23
4.53    2.03    1.12    2.98
5.45    1.69    0.81    2.19
5.07    1.80    1.06    2.80
5.26    1.84    0.99    2.77
5.15    2.09    1.04    3.26
5.32    2.01    0.79    2.62
4.73    2.23    0.83    2.79
4.42    2.17    0.89    2.60
5.22    2.21    1.07    3.64
4.90    1.97    0.89    2.54
4.38    2.10    0.92    2.53
4.66    1.94    1.06    2.76
5.13    1.97    1.05    3.07
4.60    2.02    1.11    2.97
5.04    2.15    1.11    3.51
4.44    1.67    1.05    2.25
5.52    1.93    0.94    2.94
5.48    2.13    0.88    3.13
5.77    1.67    0.92    2.56
4.98    1.92    0.93    2.60
4.73    2.42    1.00    3.49
4.48    1.63    1.01    2.14
5.57    1.84    1.06    3.13
5.23    2.19    0.99    3.37
5.01    1.51    1.08    2.41
4.73    1.99    1.08    2.95
5.49    2.20    1.16    4.08
5.36    2.04    1.02    3.27
5.53    1.81    0.79    2.37
5.31    2.20    1.12    3.80
5.09    1.60    1.04    2.47
5.18    2.22    0.92    3.23
5.06    2.07    1.08    3.27
4.85    1.74    1.05    2.57
4.72    2.49    0.91    3.41
5.17    1.96    1.01    2.98
4.72    2.26    0.98    3.15
5.59    2.23    0.92    3.51
4.02    2.25    1.05    2.79
5.40    1.85    1.08    3.11
4.77    2.14    0.88    2.74
4.90    2.10    0.93    2.86
4.74    2.13    1.08    3.16
4.78    2.26    0.95    3.11
5.06    2.24    0.99    3.36
5.35    1.88    1.00    2.90
5.51    1.77    0.96    2.71
4.66    1.86    1.07    2.68
5.10    1.84    0.92    2.52
4.97    2.17    1.00    3.21
5.14    2.14    0.96    3.14
5.02    2.04    0.99    2.96
4.27    1.90    0.95    2.25
4.78    2.03    0.98    2.79
4.35    2.18    1.01    2.83
4.50    2.05    1.01    2.73
4.80    1.78    0.92    2.28
5.43    2.02    1.01    3.22
5.09    1.87    0.99    2.74
4.65    1.95    0.99    2.63
5.80    2.10    1.04    3.69
4.83    2.06    1.00    2.94
5.70    1.90    0.99    3.12
4.95    1.90    1.00    2.72
4.18    1.96    1.14    2.71
4.25    2.00    0.84    2.17
5.43    2.13    0.89    3.13
4.77    2.37    0.86    3.11
4.88    2.31    1.02    3.45
4.04    1.85    1.01    2.18
5.38    1.91    1.00    2.99
5.94    2.05    0.84    3.13
5.24    2.08    1.08    3.41
4.83    1.76    1.23    3.07
5.47    2.04    0.95    3.13
4.06    2.17    0.93    2.47
4.30    2.07    0.98    2.57
5.04    1.90    0.92    2.59
4.34    2.31    1.04    3.11
4.44    2.52    1.00    3.45
5.13    2.19    1.01    3.35
4.82    1.71    1.09    2.61
5.64    2.13    1.04    3.66
5.53    1.61    1.00    2.56
4.81    2.14    0.94    2.89
5.10    2.11    0.98    3.11
4.71    1.97    0.96    2.61
6.11    1.90    1.12    3.76
4.46    2.04    0.97    2.60
4.91    2.09    0.99    2.99
3.94    1.64    1.03    1.93
5.72    1.68    0.87    2.43
5.11    2.23    1.00    3.39
4.31    2.00    1.01    2.53
4.93    1.86    1.01    2.70
4.87    2.12    0.98    2.99
4.24    1.94    0.99    2.37
5.74    1.96    1.03    3.36
5.49    1.86    1.06    3.11
4.27    1.61    0.91    1.80
4.64    2.19    1.03    3.09
4.81    1.81    1.08    2.70
5.05    1.60    0.83    1.96
5.61    2.09    1.04    3.57
4.65    2.00    0.95    2.59
5.25    1.99    1.15    3.48
4.22    1.85    1.06    2.37
4.05    1.88    0.98    2.16
4.58    1.45    1.01    1.97
4.69    1.84    1.03    2.57
4.51    2.18    1.25    3.55
4.26    2.16    1.01    2.73
5.13    2.17    0.81    2.85
4.97    2.24    0.89    3.05
5.47    1.96    0.90    2.87
4.29    1.92    1.04    2.49
5.23    1.88    1.06    3.02
5.46    1.92    0.99    3.01
4.14    2.21    1.04    2.80
5.32    2.04    1.08    3.40
4.69    2.53    0.92    3.49
5.15    2.15    1.04    3.38
4.94    1.83    1.11    2.90
5.40    2.32    1.00    3.77
5.26    2.22    1.08    3.70
5.24    2.19    0.84    3.02
4.49    2.04    1.07    2.84
5.06    2.21    0.90    3.08
5.77    2.02    1.19    4.00
4.63    1.78    1.06    2.53
5.62    2.06    1.00    3.40
4.37    1.93    1.02    2.48
5.00    2.08    0.94    2.90
5.51    1.75    1.18    3.32
4.85    1.93    1.09    2.96
4.68    1.86    1.08    2.71
5.39    1.93    1.04    3.13
4.93    1.88    0.93    2.52
5.10    1.65    1.05    2.57
4.93    1.98    1.11    3.12
4.72    1.91    0.90    2.38
4.62    2.15    1.09    3.16
5.04    1.78    0.94    2.45
5.34    2.07    0.88    2.92
6.32    1.83    1.00    3.34
5.00    2.29    0.80    2.99
4.82    2.11    0.94    2.86
4.90    1.93    0.99    2.73
4.41    1.84    1.00    2.36
5.88    2.42    1.05    4.50
4.30    2.24    1.06    3.00
4.37    1.73    0.88    1.94
5.30    1.66    0.92    2.34
4.68    1.98    1.20    3.20
5.75    2.45    1.09    4.57
5.43    1.56    1.11    2.77
4.85    2.07    0.92    2.77
5.14    1.71    0.98    2.49
5.03    2.32    1.11    3.81
5.86    2.05    0.90    3.24
